generation,prompt,code,fitness
0,Create a ROS node in C++ that publishes odometry data for a differential drive robot moving in a circular path.,"#include <ros/ros.h>
#include <nav_msgs/Odometry.h>
#include <tf/transform_broadcaster.h>

class CircularPathOdometryNode {
public:
    CircularPathOdometryNode() : nh_(""~"") {
        // Initialize parameters
        nh_.param<std::string>(""odom_frame_id"", odom_frame_id_, ""odom"");
        nh_.param<std::string>(""base_frame_id"", base_frame_id_, ""base_link"");

        // Initialize publishers
        odom_pub_ = nh_.advertise<nav_msgs::Odometry>(""odom"", 10);

        // Set loop rate
        loop_rate_ = ros::Rate(10); // 10 Hz
    }

    void run() {
        while (ros::ok()) {
            publishOdometry();
            loop_rate_.sleep();
        }
    }

private:
    ros::NodeHandle nh_;
    ros::Publisher odom_pub_;
    ros::Rate loop_rate_;
    std::string odom_frame_id_;
    std::string base_frame_id_;

    void publishOdometry() {
        nav_msgs::Odometry odom;
        odom.header.stamp = ros::Time::now();
        odom.header.frame_id = odom_frame_id_;
        odom.child_frame_id = base_frame_id_;
        
        // Set the pose information for a circular path
        double radius = 1.0; // meters
        double angular_velocity = 0.5; // rad/s
        double linear_velocity = radius * angular_velocity;
        double theta = angular_velocity * odom.header.stamp.toSec();
        
        odom.pose.pose.position.x = radius * cos(theta);
        odom.pose.pose.position.y = radius * sin(theta);
        odom.pose.pose.position.z = 0.0;
        
        odom.pose.pose.orientation = tf::createQuaternionMsgFromYaw(theta);

        // Set the twist information
        odom.twist.twist.linear.x = linear_velocity;
        odom.twist.twist.linear.y = 0.0;
        odom.twist.twist.angular.z = angular_velocity;

        // Publish the odometry message
        odom_pub_.publish(odom);
    }
};

int main(int argc, char** argv) {
    ros::init(argc, argv, ""circular_path_odometry_node"");

    CircularPathOdometryNode node;
    node.run();

    return 0;
}",0
0,Write a ROS C++ program that simulates and publishes the motion of a robot around its Instantaneous Center of Rotation (ICR).,"#include <ros/ros.h>
#include <geometry_msgs/Twist.h>

class ICRMotionSimulator {
public:
    ICRMotionSimulator() {
        cmd_vel_sub_ = nh_.subscribe(""cmd_vel"", 1, &ICRMotionSimulator::cmdVelCallback, this);
        icr_pub_ = nh_.advertise<geometry_msgs::Twist>(""icr_pose"", 1);
    }

    void cmdVelCallback(const geometry_msgs::Twist& cmd_vel) {
        // Calculate linear and angular velocities about the ICR
        double icr_linear_vel = cmd_vel.linear.x;
        double icr_angular_vel = cmd_vel.angular.z;

        // Publish the calculated velocities
        geometry_msgs::Twist icr_twist;
        icr_twist.linear.x = icr_linear_vel;
        icr_twist.angular.z = icr_angular_vel;
        icr_pub_.publish(icr_twist);
    }

private:
    ros::NodeHandle nh_;
    ros::Subscriber cmd_vel_sub_;
    ros::Publisher icr_pub_;
};

int main(int argc, char **argv) {
    ros::init(argc, argv, ""icr_motion_simulator"");
    ICRMotionSimulator icr_motion_simulator;

    ros::spin();

    return 0;
}",1.4500261747562444
0,Generate a ROS C++ node that calculates and publishes odometry and TF data for a robot moving with constant angular velocity.,"#include <ros/ros.h>
#include <tf/transform_broadcaster.h>
#include <nav_msgs/Odometry.h>
#include <geometry_msgs/Quaternion.h>

class ConstantVelocityOdometry {
public:
    ConstantVelocityOdometry() {
        ros::NodeHandle nh;
        
        odom_pub = nh.advertise<nav_msgs::Odometry>(""odom"", 10);
        
        current_time = ros::Time::now();
        last_time = ros::Time::now();
        
        // Initial position and orientation
        x = 0.0;
        y = 0.0;
        theta = 0.0;
        
        // Constant angular velocity
        angular_vel = 0.1; // rad/sec
        
        // Timer for the control loop
        timer = nh.createTimer(ros::Duration(0.1), &ConstantVelocityOdometry::updateOdometry, this);
    }

    void updateOdometry(const ros::TimerEvent&) {
        ros::Time current_time = ros::Time::now();
        double dt = (current_time - last_time).toSec();
        
        // Update robot position and orientation
        x = x + cos(theta) * angular_vel * dt;
        y = y + sin(theta) * angular_vel * dt;
        theta = theta + angular_vel * dt;
        
        // Publish odometry data
        nav_msgs::Odometry odom;
        odom.header.stamp = current_time;
        odom.header.frame_id = ""odom"";
        odom.child_frame_id = ""base_link"";

        // Position
        odom.pose.pose.position.x = x;
        odom.pose.pose.position.y = y;
        odom.pose.pose.position.z = 0.0;

        // Orientation
        geometry_msgs::Quaternion odom_quat = tf::createQuaternionMsgFromYaw(theta);
        odom.pose.pose.orientation = odom_quat;

        // Velocity
        odom.twist.twist.linear.x = 0.0;
        odom.twist.twist.linear.y = 0.0;
        odom.twist.twist.angular.z = angular_vel;

        // Publish the message
        odom_pub.publish(odom);

        // Broadcast odometry transform
        tf::Transform transform;
        transform.setOrigin(tf::Vector3(x, y, 0.0));
        tf::Quaternion q;
        q.setRPY(0, 0, theta);
        transform.setRotation(q);
        tf_broadcaster.sendTransform(tf::StampedTransform(transform, current_time, ""odom"", ""base_link""));

        last_time = current_time;
    }

private:
    ros::NodeHandle nh;
    ros::Publisher odom_pub;
    ros::Time current_time, last_time;
    tf::TransformBroadcaster tf_broadcaster;
    double x, y, theta, angular_vel;
    ros::Timer timer;
};

int main(int argc, char** argv) {
    ros::init(argc, argv, ""constant_velocity_odometry"");
    ConstantVelocityOdometry odometry;
    ros::spin();
    return 0;
}",0
0,Implement a ROS C++ publisher that simulates circular robot motion and broadcasts odometry and transform data.,"#include <ros/ros.h>
#include <tf/transform_broadcaster.h>
#include <nav_msgs/Odometry.h>
#include <geometry_msgs/Quaternion.h>
#include <geometry_msgs/TransformStamped.h>

class CircularMotionPublisher {
public:
    CircularMotionPublisher() : nh(""~"") {
        nh.param<double>(""radius"", radius, 1.0);
        nh.param<double>(""angular_velocity"", angularVelocity, 0.5);
        
        odom_pub = nh.advertise<nav_msgs::Odometry>(""odom"", 10);
        
        current_time = ros::Time::now();
        last_time = ros::Time::now();
        
        x = 0.0;
        y = 0.0;
        theta = 0.0;
    }

    void publish() {
        current_time = ros::Time::now();
        double dt = (current_time - last_time).toSec();
        
        theta += angularVelocity * dt;
        x = radius * cos(theta);
        y = radius * sin(theta);

        geometry_msgs::Quaternion odom_quat = tf::createQuaternionMsgFromYaw(theta);

        // publish transform
        geometry_msgs::TransformStamped odom_trans;
        odom_trans.header.stamp = current_time;
        odom_trans.header.frame_id = ""odom"";
        odom_trans.child_frame_id = ""base_link"";
        odom_trans.transform.translation.x = x;
        odom_trans.transform.translation.y = y;
        odom_trans.transform.translation.z = 0.0;
        odom_trans.transform.rotation = odom_quat;

        odom_broadcaster.sendTransform(odom_trans);

        // publish odometry
        nav_msgs::Odometry odom;
        odom.header.stamp = current_time;
        odom.header.frame_id = ""odom"";

        odom.pose.pose.position.x = x;
        odom.pose.pose.position.y = y;
        odom.pose.pose.position.z = 0.0;
        odom.pose.pose.orientation = odom_quat;

        odom_pub.publish(odom);

        last_time = current_time;
    }

private:
    ros::NodeHandle nh;
    ros::Publisher odom_pub;
    tf::TransformBroadcaster odom_broadcaster;
    double x, y, theta;
    double radius, angularVelocity;
    ros::Time current_time, last_time;
};

int main(int argc, char** argv) {
    ros::init(argc, argv, ""circular_motion_publisher"");
    CircularMotionPublisher cmp;

    ros::Rate loop_rate(10);  // 10 Hz
    while (ros::ok()) {
        cmp.publish();
        ros::spinOnce();
        loop_rate.sleep();
    }

    return 0;
}",0
1,Write a ROS node in C++ that publishes odometry control data for a differential drive robot moving in a circular path.,"#include <ros/ros.h>
#include <geometry_msgs/Twist.h>
#include <nav_msgs/Odometry.h>
#include <tf/transform_broadcaster.h>

class CircularMotionController {
public:
    CircularMotionController() : nh(""~"") {
        nh.param(""radius"", radius, 1.0);
        nh.param(""velocity"", velocity, 0.5);

        pub_odom = nh.advertise<nav_msgs::Odometry>(""odom"", 1);
        sub_cmd_vel = nh.subscribe(""cmd_vel"", 1, &CircularMotionController::cmdVelCallback, this);
    }

    void cmdVelCallback(const geometry_msgs::Twist::ConstPtr &msg) {
        // Calculate angular velocity based on the radius and linear velocity
        double angular_vel = velocity / radius;

        // Publish odometry data
        ros::Time current_time = ros::Time::now();
        tf::Transform transform;
        transform.setOrigin(tf::Vector3(radius, 0.0, 0.0));
        tf::Quaternion q;
        q.setRPY(0, 0, 0);
        transform.setRotation(q);

        tf::StampedTransform stampedTransform(transform, current_time, ""odom"", ""base_link"");
        tf_broadcaster.sendTransform(stampedTransform);

        nav_msgs::Odometry odom;
        odom.header.stamp = current_time;
        odom.header.frame_id = ""odom"";
        odom.child_frame_id = ""base_link"";
        odom.pose.pose.position.x = radius;
        odom.pose.pose.position.y = 0.0;
        odom.pose.pose.position.z = 0.0;
        odom.twist.twist.linear.x = velocity;
        odom.twist.twist.angular.z = angular_vel;

        pub_odom.publish(odom);
    }

private:
    ros::NodeHandle nh;
    ros::Publisher pub_odom;
    ros::Subscriber sub_cmd_vel;
    tf::TransformBroadcaster tf_broadcaster;
    double radius;
    double velocity;
};

int main(int argc, char** argv) {
    ros::init(argc, argv, ""circular_motion_controller"");
    CircularMotionController controller;
    ros::spin();
    return 0;
}",0
2,Write a ROS C++ program that that publishes odometry data for a differential drive robot moving in a circular path.,"#include ""ros/ros.h""
#include ""geometry_msgs/Twist.h""
#include ""nav_msgs/Odometry.h""
#include <tf/transform_broadcaster.h>

class CircularOdometryPublisher {
public:
    CircularOdometryPublisher() : nh_(""""), private_nh_(""~"") {
        private_nh_.param<double>(""linear_speed"", linear_speed_, 0.1);
        private_nh_.param<double>(""angular_speed"", angular_speed_, 0.1);
        
        odom_pub_ = nh_.advertise<nav_msgs::Odometry>(""odom"", 10);
        cmd_vel_sub_ = nh_.subscribe(""cmd_vel"", 10, &CircularOdometryPublisher::cmdVelCallback, this);
        
        x_ = 0.0;
        y_ = 0.0;
        theta_ = 0.0;
        vx_ = 0.0;
        vy_ = 0.0;
        vth_ = 0.0;
        current_time_ = ros::Time::now();
        last_time_ = ros::Time::now();
    }

    void run() {
        ros::Rate loop_rate(10); // 10 Hz
        
        while (ros::ok()) {
            current_time_ = ros::Time::now();
            double dt = (current_time_ - last_time_).toSec();

            // Calculate new position based on circular path
            x_ += (vx_ * cos(theta_) - vy_ * sin(theta_)) * dt;
            y_ += (vx_ * sin(theta_) + vy_ * cos(theta_)) * dt;
            theta_ += vth_ * dt;

            // Publish the odometry message
            publishOdometry();
            last_time_ = current_time_;

            ros::spinOnce();
            loop_rate.sleep();
        }
    }

private:
    ros::NodeHandle nh_;
    ros::NodeHandle private_nh_;
    ros::Publisher odom_pub_;
    ros::Subscriber cmd_vel_sub_;

    double linear_speed_;
    double angular_speed_;
    
    double x_, y_, theta_;
    double vx_, vy_, vth_;
    
    ros::Time current_time_;
    ros::Time last_time_;

    void cmdVelCallback(const geometry_msgs::Twist::ConstPtr& msg) {
        vx_ = msg->linear.x;
        vy_ = msg->linear.y;
        vth_ = msg->angular.z;
    }

    void publishOdometry() {
        nav_msgs::Odometry odom;
        odom.header.stamp = current_time_;
        odom.header.frame_id = ""odom"";
        odom.child_frame_id = ""base_link"";

        // Position
        odom.pose.pose.position.x = x_;
        odom.pose.pose.position.y = y_;
        odom.pose.pose.position.z = 0.0;
        odom.pose.pose.orientation = tf::createQuaternionMsgFromYaw(theta_);

        // Velocity
        odom.twist.twist.linear.x = vx_;
        odom.twist.twist.linear.y = vy_;
        odom.twist.twist.angular.z = vth_;

        odom_pub_.publish(odom);
    }
};

int main(int argc, char** argv) {
    ros::init(argc, argv, ""circular_odometry_publisher"");
    
    CircularOdometryPublisher odometry_publisher;
    odometry_publisher.run();
    
    ros::spin();
    
    return 0;
}",0.9194566249200622
3,Write a ROS C++ program that simulates and publishes the motion a differential drive robot moving in a circular path.,"#include ""ros/ros.h""
#include ""geometry_msgs/Twist.h""

class CircularMotionSimulator {
public:
    CircularMotionSimulator() {
        cmd_vel_pub_ = nh_.advertise<geometry_msgs::Twist>(""cmd_vel"", 10);
        timer_ = nh_.createTimer(ros::Duration(0.1), &CircularMotionSimulator::timerCallback, this);
        linear_speed_ = 0.1; // linear speed in m/s
        angular_speed_ = 0.5; // angular speed in rad/s
    }

    void timerCallback(const ros::TimerEvent& event) {
        geometry_msgs::Twist msg;
        msg.linear.x = linear_speed_;
        msg.angular.z = angular_speed_;
        cmd_vel_pub_.publish(msg);
    }

private:
    ros::NodeHandle nh_;
    ros::Publisher cmd_vel_pub_;
    ros::Timer timer_;
    double linear_speed_;
    double angular_speed_;
};

int main(int argc, char **argv) {
    ros::init(argc, argv, ""circular_motion_simulation"");
    CircularMotionSimulator circular_motion_simulator;

    ros::spin();

    return 0;
}",6.646514178257629
6,Write a ROS C++ program that simulates and publishes motion and broadcasts odometry and transform data.,"#include <ros/ros.h>
#include <geometry_msgs/Twist.h>
#include <nav_msgs/Odometry.h>
#include <tf2_ros/transform_broadcaster.h>
#include <tf2/LinearMath/Quaternion.h>

class MotionSimulator {
public:
    MotionSimulator() : nh_(""~"") {
        cmd_vel_sub_ = nh_.subscribe(""cmd_vel"", 10, &MotionSimulator::cmdVelCallback, this);
        odom_pub_ = nh_.advertise<nav_msgs::Odometry>(""odom"", 10);
        tf_broadcaster_ = new tf2_ros::TransformBroadcaster();
        createTimer();
    }

    void createTimer() {
        timer_ = nh_.createTimer(ros::Duration(0.1), &MotionSimulator::timerCallback, this);
    }

    void cmdVelCallback(const geometry_msgs::Twist::ConstPtr& msg) {
        // Simulate motion based on twist message
        // Add your motion simulation logic here
    }

    void timerCallback(const ros::TimerEvent& event) {
        // Publish odometry message
        // Create and publish odometry message
        // Add your odometry calculation logic here

        // Broadcast transform data
        geometry_msgs::TransformStamped odom_trans;
        // Populate transform message
        // Add your transform logic here
        tf_broadcaster_->sendTransform(odom_trans);
    }

private:
    ros::NodeHandle nh_;
    ros::Subscriber cmd_vel_sub_;
    ros::Publisher odom_pub_;
    ros::Timer timer_;
    tf2_ros::TransformBroadcaster* tf_broadcaster_;
};

int main(int argc, char** argv) {
    ros::init(argc, argv, ""motion_simulator_node"");
    MotionSimulator motion_simulator;

    ros::spin();

    return 0;
}",0
9,Write a ROS C++ program that simulates publishes the motion a queue differential drive robot moving in a of Rotation spin (ICR).,"#include ""ros/ros.h""
#include ""geometry_msgs/Twist.h""

class ICRMotionPublisher {
public:
    ICRMotionPublisher() : nh_(""~"") {
        nh_.param<std::string>(""robot_frame"", robot_frame_, ""base_link"");
        nh_.param<double>(""angular_speed"", angular_speed_, 0.5); // rad/s
        twist_pub_ = nh_.advertise<geometry_msgs::Twist>(""cmd_vel"", 10);
        
        ros::Rate loop_rate(10); // Publishing rate

        while(ros::ok()) {
            publishICRMotion();
            ros::spinOnce();
            loop_rate.sleep();
        }
    }

    void publishICRMotion() {
        geometry_msgs::Twist twist_msg;
        
        twist_msg.linear.x = 0.2; // Linear velocity (m/s)
        twist_msg.angular.z = angular_speed_; // Angular velocity (rad/s)

        twist_pub_.publish(twist_msg);
    }

private:
    ros::NodeHandle nh_;
    ros::Publisher twist_pub_;
    std::string robot_frame_;
    double angular_speed_;
};

int main(int argc, char **argv) {
    ros::init(argc, argv, ""icr_motion_publisher"");
    ICRMotionPublisher icr_motion_publisher;

    return 0;
}",6.150428447389952
10,Write a ROS C++ program that simulates and publishes the motion a differential drive robot moving in a of Rotation spin (ICR).,"#include <ros/ros.h>
#include <geometry_msgs/Twist.h>

class DifferentialDriveController {
public:
    DifferentialDriveController() : nh_(""~"") {
        nh_.param<std::string>(""cmd_vel_topic"", cmd_vel_topic_, ""/cmd_vel"");

        cmd_vel_pub_ = nh_.advertise<geometry_msgs::Twist>(cmd_vel_topic_, 1);

        // Set the initial linear and angular velocities
        vel_msg_.linear.x = 0.2;  // Linear velocity in m/s
        vel_msg_.angular.z = 0.5; // Angular velocity in rad/s

        // Set the update rate
        ros_rate_ = nh_.param(""update_rate"", 10);

        timer_ = nh_.createTimer(ros::Duration(1.0 / ros_rate_), &DifferentialDriveController::timerCallback, this);
    }

    void timerCallback(const ros::TimerEvent&) {
        cmd_vel_pub_.publish(vel_msg_);
    }

private:
    ros::NodeHandle nh_;
    ros::Publisher cmd_vel_pub_;
    ros::Timer timer_;
    geometry_msgs::Twist vel_msg_;
    std::string cmd_vel_topic_;
    double ros_rate_;
};

int main(int argc, char** argv) {
    ros::init(argc, argv, ""differential_drive_controller"");

    DifferentialDriveController controller;

    ros::spin();

    return 0;
}",6.648029617965289
