generation,prompt,code,fitness
0,Create a ROS node in C++ that publishes odometry data for a differential drive robot moving in a circular path.,rosrun catkin_tools rqt_launch src/circular_odometry_publisher.py,0
0,Write a ROS C++ program that simulates and publishes the motion of a robot around its Instantaneous Center of Rotation (ICR).,"#include ""rclcpp/rclcpp.hpp""

#include ""geometry_msgs/msg/twist.hpp""


// Define the publisher and subscriber to topics for ICR position

class RobotMotionPublisher : public rclcpp::Node

{

public:

    explicit RobotMotionPublisher(const std::string& node_name) : Node(""robot_motion_publisher"")

    {

        // ICR publisher for the robot's position

        this->icr_position_publisher_ = create_publisher<geometry_msgs::msg::Twist>(""icr_position"", 10);


        // Subscriber to control the rotation speed (angle per second) of ICR around its center.

        this->rotation_speed_subscriber_ = this->create_subscription<geometry_msgs::msg::Float64>(""icr_rotation_speed"", 10, &RobotMotionPublisher::rotateAroundICR);

    }


private:

    void rotateAroundICR(const geometry_msgs::msg::Float64::ConstSharedPtr& msg)

    {

        // Simulate robot's motion by rotating it around its ICR.

        auto current_time = this->now().to_time_t();

        double rotation_angle = 2 * M_PI * (msg->data - current_time) / 1; // Angle per second


        geometry_msgs::msg::Twist twist_msg;

        twist_msg.angular.x = rotation_angle;


        this->icr_position_publisher_->publish(twist_msg);

    CV_RETURN_NO;

    }


private:

    rclcpp::Publisher<geometry_msgs::msg::Twist>::SharedPtr icr_position_publisher_;

    rclcpp::Subscription<geometry_msgs::msg::Float64>::SharedPtr rotation_speed_subscriber_;

};


int main(int argc, char **argv)

{

    rclcpp::init(argc, argv);


    auto node = std::make_shared<RobotMotionPublisher>(""robot_motion"");


    rclcpp::spin(node);


    return 0;

}",0
0,Generate a ROS C++ node that calculates and publishes odometry and TF data for a robot moving with constant angular velocity.,"#include <ros/ros.h>
#include <tf2_ros/transform_broadcaster.h>
#include <geometry_msgs/PoseStamped.h>
#include <nav_msgs/Odometry.h>
#include <rospy/time.h>

// Constants for the angular velocity (in radians per second)
const double ANGULAR_VELOCITY = 0.5; // Example value

int main(int argc, char** argv) {
    ros::init(argc, argv, ""moving_robot_node"");
    ros::NodeHandle nh;

    // Create publishers for Odometry and TF data
    ros::Publisher odom_pub = nh.advertise<nav_msgs::Odometry>(""odom"", 1);
    tf2_ros::TransformBroadcaster tfb;

    // Rate of publishing (in Hz)
    double rate = 50.0;
    ros::Rate loop_rate(rate);

    geometry_msgs::PoseStamped pose;
    tf2_ros::Ottoline tx, ty, tz;

    while (ros::ok()) {
        // Update the robot's current position and orientation based on its angular velocity
        double elapsed = ros::Time::now().toSec() - start_time.toSec(); // Assuming you have stored the time when movement started
        pose.pose.position.x += cos(ANGULAR_VELOCITY * elapsed);
        pose.pose.position.y += sin(ANGULAR_VELOCITY * elapsed);
        pose.pose.orientation = tf2::createQuaternionFromYawAngle(ANGULAR_VELOCITY * elapsed);

        // Publish the Odometry data
        nav_msgs::Odometry odom_msg;
        odom_msg.header.stamp = ros::Time::now();
        odom_msg.pose.pose = pose;
        odom_pub.publish(odom_msg);

        // Create the transform between the robot's frame and the base frame (assumed to be 'base_link')
        tx.setOrigin(tf2::Vector3(0, 0, 0));
        ty.setOrigin(pose.pose.position);
        tz.setEulerFromQuaternion(pose.pose.orientation);

        // Broadcast the transformation to other nodes
        if (tx.timestamp() == ros::Time::now()) {
            try {
                tfb.sendTransform(tx, ty, tz, ros::Time(0), ""base_link"", ""robot_frame"");
            } catch (tf2::TransformException& ex) {
                ROS_ERROR(""Failed to transform: %s"", ex.what());
            }
        } else {
            // If the timestamp has not changed, we are re-broadcasting a previous transformation
            ros::Duration time_since_previous_transform = ros::Time(tx.timestamp()) - ros::Time(ros::Time::now());
            if (time_since_previous_transform.toSec() > 0.1) { // Threshold in seconds to prevent flooding the TF data
                continue;
            }
        }

        loop_rate.sleep();
    }

    return 0;
}",0
0,Implement a ROS C++ publisher that simulates circular robot motion and broadcasts odometry and transform data.,"find_package(catkin REQUIRED COMPONENTS roscpp)
add_executable(${PROJECT_NAME} circular_motion_node.cpp)
target_link_libraries(${PROJECT_NAME} ${catkin_LIBRARIES})",0
1,Create a ROS C++ program that simulates and publishes the motion of a robot around its Instantaneous Center of Rotation (ICR).,,0
2,Create a ROS node in C++ that publishes odometry data motion of a robot around its Instantaneous Center of Rotation (ICR).,"#include <ros/ros.h>
#include <std_msgs/Float64MultiArray.h>
#include <nav_msgs/Odometry.h>

// Assuming you have functions to extract ICR from your odometry data (Placeholder)
// For this example, we'll skip the actual implementation and focus on publishing raw positional data

void publishPositionToICR(const std::vector<double>& x_pos, const std::vector<double>& y_pos, double icr_x, double icr_y, double icr_theta) {
    nav_msgs::Odometry odomMsg;
    
    // Assuming a simple 2D space for now (you would need to adjust this for your actual use case)
    // Transforming position data relative to ICR into Odomometry format here is simplified.
    double dx = x_pos - icr_x, dy = y_pos - icr_y;
    
    odomMsg.pose.pose.position.x = icr_x + dx * cos(icr_theta);
    odomMsg.pose.pose.position.y = icr_y + dy * sin(icr_theta);
    
    // Populate the rest of the Odometry message as needed for your application
}

int main(int argc, char **argv) {
    ros::init(argc, argv, ""irc_odometry_publisher"");
    ros::NodeHandle nh;
    
    // Assuming you have a way to get positional data and ICR for each step or periodically (Placeholder)
    std::vector<double> x_pos = {1.0, 2.0, 3.0}; // Example positions in X-axis
    std::vector<double> y_pos = {4.0, 5.0, 6.0}; // Corresponding Y-axis positions
    
    ros::Publisher odom_pub = nh.advertise<nav_msgs::Odometry>(""odometry"", 1);
    
    ros::Rate loop_rate(10); // Adjust as needed
    
    while (ros::ok()) {
        double icr_x = /* Extract ICR X */;
        double icr_y = /* Extract ICR Y */;
        double icr_theta = /* Extract ICR Theta in radians */;
        
        publishPositionToICR(x_pos, y_pos, icr_x, icr_y, icr_theta);
        
        odom_pub.publish(/* Convert your positional data to nav_msgs::Odometry message here */);
        
        ros::spinOnce(); // Process callbacks
        loop_rate.sleep();
    }
    
    return 0;
}",0
3,Create a ROS node C++ that publishes odometry data for a differential drive robot its Instantaneous Center of Rotation (ICR).,"#include <ros/ros.h>

#include <geometry_msgs/Pose2DStamped.h>

#include <tf2_ros/transform_broadcaster.h>


int main(int argc, char** argv) {

    // Initialize the ROS node named ""odometry_icr_publisher""

    ros::init(argc, argv, ""odometry_icr_publisher"");

    ros::NodeHandle nh;


    // Create a publisher for ICR data using a custom message type (assuming such a message is defined)

    ros::Publisher icr_pub = nh.advertise<ICRData>(""icr_data"", 10);


    // Initialize the ROS subscriber to receive odometry data from another node or sensor (omitted for brevity)


    // Main loop

    ros::Rate loop_rate(10);

    while (ros::ok()) {

        // Assuming ICRData is a structured message containing the ICR pose

        ICRData icr_pose;


        // Fill in the ICR pose with data obtained from odometry and other sensor fusion algorithms

        // This will vary based on your specific implementation. Here, we'll just simulate an example ICR Pose:

        icr_pose.transform.translation.x = 1.0; // Example translation in meters

        icr_pose.transform.translation.y = 2.0;

        icr_pose.transform.rotation.w = 0.707; // Example rotation (Rodrigues vector) to represent the ICR orientation


        // Broadcast the ICR pose as a PoseStamped message for visualization in RViz or other applications

        geometry_msgs::Pose2DStamped icr_msg;

        icr_msg.header.stamp = ros::Time();

        icr_msg.pose.orientation = tf2::createQuaternionMsg(icr_pose.transform.rotation);

        icr_msg.pose.position.x = icr_pose.transform.translation.x;

        icr_msg.pose.position.y = icr_pose.transform.translation.y;

        icr_pub.publish(icr_msg); // Publish the ICR PoseStamped message


        ros::spinOnce();

        loop_rate.sleep();

    }


    return 0;

}",0
4,Create a ROS node in C++ simulates circular bot sensor motion and broadcasts odometry and transform data.,"//!/usr/bin/env c++
#include <ros/ros.h>
#include <geometry_msgs/Pose2D.h>
#include <nav_msgs/Odometry.h>
#include <tf/transform_broadcaster.h>

const double PI = 3.14159;

// Circular motion parameters: radius and speed (meters per second)
static const double CIRCULAR_RADIUS = 0.5;
static const double SPEED = 2.0;

class CircularBotSimulator : public ros::NodeHandle {
public:
    explicit CircularBotSimulator(ros::NodeHandle& nh) : nh_(nh) {}

    void simulateMotion() {
        double theta = 0.0; // starting angle in radians

        while (ros::ok()) {
            geometry_msgs::Pose2D pose(CIRCULAR_RADIUS * cos(theta), CIRCULAR_RADIUS * sin(theta));
            tf::Quaternion q;
            q.setRPY(0, 0, theta); // updating orientation based on current angle

            geometry_msgs::Pose2D final_pose = {pose.x, pose.y, 0};
            final_pose.orientation.setFromQuaternion(&q);

            nav_msgs::Odometry odom_msg;
            odom_msg.header.stamp = ros::Time::now();
            odom_msg.child_frame_id = ""circular_bot"";
            odom_msg.pose.pose = final_pose;

            publisher_->publish(odom_msg);

            // Transform from circular bot frame to world frame (using tf)
            geometry_msgs::Transform transform_msg;
            transform_msg.translation.x = CIRCULAR_RADIUS * cos(theta);
            transform_msg.translation.y = CIRCULAR_RADIUS * sin(theta);
            tf::Quaternion world_frame_orientation; // set the orientation of the circular bot in the world frame

            broadcaster_.sendTransform(transform_msg, world_frame_orientation, ros::Time(0), ""circular_bot"", ros::Time(0));

            theta += SPEED * 0.1; // increment angle by speed multiplied with time step (assumed to be 0.1s)

            ros::spinOnce();
        }
    }

private:
    void init() {
        odom_publisher_ = nh_.advertise<nav_msgs::Odometry>(""circular_bot"", 1);
        broadcaster_ = nh_.fetchBaseSite().makeTransformCallback(ros::Time(0), ""base_link"", ""circular_bot"");
    }

    ros::Publisher odom_publisher_;
    tf::BroadcastTransformsCallback broadcaster_;
};

int main(int argc, char** argv) {
    ros::init(argc, argv, ""circular_bot_simulator"");

    auto nh = std::make_shared<ros::NodeHandle>();
    CircularBotSimulator simulator(*nh);
    simulator.init();

    // Start the circular motion simulation in a separate thread
    std::thread simulation_thread([&simulator] {
        simulator.simulateMotion();
    });

    ros::spin();

    return 0;
}",0
6,Create a ROS C++ program that simulates localization and publishes the motion of a robot around its Instantaneous Center of Rotation (ICR).,"#include <ros/ros.h>
#include <geometry_msgs/Vector3.h>
#include <eigen3/Eigen/Dense>
#include <nav_msgs/Odometry.h>
#include <std_srvs/Trigger.h>

// Assuming we have a function to calculate the ICR based on localization data or estimated pose:
Eigen::Vector3f CalculateICR(const geometry_msgs::PoseStamped& pose);

int main(int argc, char** argv) {
  ros::init(argc, argv, ""robot_motion_publisher"");
  ros::NodeHandle nh;

  // Localization data and motion topics subscriptions
  ros::Subscriber localization_sub = nh.subscribe(""localization_topic"", 10, &LocalizationCallback);
  ros::Subscriber motion_pub_sub = nh.subscribe(""motion_topic"", 10, &MotionPublisher);

  // ICR around which the robot will move
  Eigen::Vector3f icr;

  ros::Rate loop_rate(10);

  while (ros::ok()) {
    LocalizationCallback();
    PublishICRMotion(icr);
    ros::spinOnce();
    loop_rate.sleep();
  }

  return 0;
}

void LocalizationCallback(const geometry_msgs::PoseStamped::ConstPtr& pose) {
  // Update ICR based on localization data (pseudo-code)
  icr = CalculateICR(*pose);
}

void PublishICRMotion(const Eigen::Vector3f& icr) {
  geometry_msgs::PoseStamped icr_motion;
  
  // Define a simple circular trajectory around ICR (pseudo-code)
  double theta = ros::Time::now().toSec() * 10.0;
  Eigen::Vector3f circle_pos(icr);
  circle_pos += icr.normalized() * sin(theta);
  
  icr_motion.position.x = circle_pos[0];
  icr_motion.position.y = circle_pos[1];
  icr_motion.position.z = circle_pos[2];

  ros::Publisher icr_pub = nh.advertise<geometry_msgs::PoseStamped>(""icr_motion"", 10);
  icr_pub.publish(icr_motion);
}",0
8,Create a ROS node in C++ that publishes odometry the motion of a robot around Instantaneous Center of Rotation (ICR).,"#include <ros/ros.h>

#include <nav_msgs/Odometry.h>


// Assuming you have a function to calculate ICR (Instantaneous Center of Rotation) position

// For this example, let's use a mock function that represents your algorithm for calculating the ICR

void computeICR(double &x, double &y);


int main(int argc, char **argv) {

    ros::init(argc, argv, ""icr_odometry_publisher"");

    ros::NodeHandle nh;


    // Create a publisher for the odometry message

    ros::Publisher pub = nh.advertise<nav_msgs::Odometry>(""odom"", 10);


    // Rate of publishing (in Hz)

    double rate = 30.0;

    ros::Rate loop_rate(rate);


    while (ros::ok()) {

        // Mock position data for example purposes, replace with actual robot ICR computation

        double icr_x = 0.0; // Replace this with the computed ICR x-coordinate

        double icr_y = 0.0; // Replace this with the computed ICR y-coordinate


        computeICR(icr_x, icr_y);


        // Create and populate odometry message

        nav_msgs::Odometry msg;

        msg.header.stamp = ros::Time::now();

        msg.pose.pose.position.x = icr_x;

        msg.pose.pose.position.y = icr_y;

        // Populate other elements of the Odometry message as required for your application


        pub.publish(msg);

        ros::spinOnce();


        loop_rate.sleep();

    }


    return 0;

}


// Implementation of computeICR function (replace with actual ICR calculation)

void computeICR(double &x, double &y) {

    // Placeholder: Compute the ICR position here using your robot's kinematics and dynamics.

    x = 10.0; // Example value

    y = -5.0; // Example value

}",5.585753237667804
