generation,prompt,code,fitness
0,make a ROS1 subscriber in cpp,"#include ""ros/ros.h""
#include ""sensor_msgs/Imu.h""

void imuCallback(const sensor_msgs::Imu::ConstPtr& msg)
{
    ROS_INFO(""Received IMU data\n"");
    ROS_INFO(""Linear Acceleration: x=%f, y=%f, z=%f\n"", msg->linear_acceleration.x, msg->linear_acceleration.y, msg->linear_acceleration.z);
    ROS_INFO(""Angular Velocity: x=%f, y=%f, z=%f\n"", msg->angular_velocity.x, msg->angular_velocity.y, msg->angular_velocity.z);
}

int main(int argc, char** argv)
{
    ros::init(argc, argv, ""imu_subscriber"");
    ros::NodeHandle nh;

    ros::Subscriber sub = nh.subscribe<sensor_msgs::Imu>(""imu_data"", 1000, imuCallback); // Subscribing to 'imu_data' topic

    ros::spin();

    return 0;
}",5.475842606885699
0,code ROS sub in cpp,"#include ""ros/ros.h""
#include ""std_msgs/String.h""

void sensorDataCallback(const std_msgs::String::ConstPtr& msg)
{
    ROS_INFO(""Received sensor data: %s"", msg->data.c_str());
}

int main(int argc, char **argv)
{
    ros::init(argc, argv, ""sensor_subscriber_node"");
    ros::NodeHandle nh;

    ros::Subscriber sub = nh.subscribe(""/sensor_data"", 10, sensorDataCallback);

    ros::spin();

    return 0;
}",10.734491531377767
0,create a subscriber for ROS in c++,"#include ""ros/ros.h""
#include ""sensor_msgs/Imu.h""

// Callback function to process incoming messages
void sensorCallback(const sensor_msgs::Imu::ConstPtr& msg)
{
    ROS_INFO(""Received Sensor Data:\nLinear Acceleration: x=%f, y=%f, z=%f\nAngular Velocity: x=%f, y=%f, z=%f"",
             msg->linear_acceleration.x, msg->linear_acceleration.y, msg->linear_acceleration.z,
             msg->angular_velocity.x, msg->angular_velocity.y, msg->angular_velocity.z);
}

int main(int argc, char **argv)
{
    // Initialize the ROS node
    ros::init(argc, argv, ""sensor_subscriber"");
    
    // Create a NodeHandle object
    ros::NodeHandle nh;
    
    // Create a subscriber for the ""/sensor_data"" topic
    ros::Subscriber sub = nh.subscribe<sensor_msgs::Imu>(""/sensor_data"", 10, sensorCallback);
    
    // Spin to listen for incoming messages
    ros::spin();
    
    return 0;
}",4.193475522639594
0,generate a c++ subscriber node,"#include ""ros/ros.h""
#include ""std_msgs/String.h""

void callback(const std_msgs::String::ConstPtr& msg){
    ROS_INFO(""Received message: %s"", msg->data.c_str());
}

int main(int argc, char **argv){
    ros::init(argc, argv, ""subscriber_node"");
    ros::NodeHandle nh;

    ros::Subscriber sub = nh.subscribe(""chatter"", 1000, callback);

    ros::spin();

    return 0;
}",10.732237020946279
1,code ROS sub subscriber node,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(""I heard %s"", data.data)

def listener():
    rospy.init_node('listener', anonymous=True)
    rospy.Subscriber(""chatter"", String, callback)
    rospy.spin()

if __name__ == '__main__':
    try:
        listener()
    except rospy.ROSInterruptException:
        pass",0
3,code ROS sub in node,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(""Received message: %s"", data.data)

def listener():
    rospy.init_node('listener', anonymous=True)

    rospy.Subscriber('chatter', String, callback)

    rospy.spin()

if __name__ == '__main__':
    try:
        listener()
    except rospy.ROSInterruptException:
        pass",0
4,code a c++ subscriber node,"#include ""ros/ros.h""
#include ""std_msgs/String.h""

void messageCallback(const std_msgs::String::ConstPtr& msg) {
    ROS_INFO(""Received message: %s"", msg->data.c_str());
}

int main(int argc, char** argv) {
    ros::init(argc, argv, ""subscriber_node"");
    ros::NodeHandle nh;

    ros::Subscriber sub = nh.subscribe(""topic_name"", 10, messageCallback);

    ros::spin();

    return 0;
}",10.7330314558255
5,code ROS sub node,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(""Received: %s"", data.data) # Log received data
    # Add your processing logic here

def listener():
    rospy.init_node('listener', anonymous=True) # Initialize node
    rospy.Subscriber('chatter', String, callback) # Subscribe to topic 'chatter'
    rospy.spin() # Keep node running

if __name__ == '__main__':
    try:
        listener()
    except rospy.ROSInterruptException:
        pass",0
7,code ROS sub queue in node,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(""Received message: %s"", data.data)

def listener():
    rospy.init_node('listener', anonymous=True)
    rospy.Subscriber(""chatter"", String, callback, queue_size=10)

    rospy.spin()

if __name__ == '__main__':
    listener()",0
8,code a c++ queue subscriber node,"#include <ros/ros.h>
#include <std_msgs/String.h>

class QueueSubscriberNode {
public:
    QueueSubscriberNode() {
        subscriber_ = node_handle_.subscribe(""queue_topic"", 10, &QueueSubscriberNode::queueCallback, this);
    }

    void queueCallback(const std_msgs::String::ConstPtr& msg) {
        ROS_INFO(""Queue Subscriber Node Received: %s"", msg->data.c_str());
    }

private:
    ros::NodeHandle node_handle_;
    ros::Subscriber subscriber_;
};

int main(int argc, char** argv) {
    ros::init(argc, argv, ""queue_subscriber_node"");
    
    QueueSubscriberNode queue_subscriber_node;

    ros::spin();

    return 0;
}",10.695680389565473
17,code ROS c++ subscriber node,"#include ""ros/ros.h""
#include ""std_msgs/String.h""

void messageCallback(const std_msgs::String::ConstPtr& msg)
{
    ROS_INFO(""Received message: %s"", msg->data.c_str());
}

int main(int argc, char** argv)
{
    ros::init(argc, argv, ""subscriber_node"");
    ros::NodeHandle nh;

    ros::Subscriber sub = nh.subscribe(""chatter"", 10, messageCallback);

    ros::spin();

    return 0;
}",10.730742218380586
19,code ROS sub subscriber process node,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    # Process the received message
    rospy.loginfo(""Received message: %s"", data.data)

def listener():
    rospy.init_node('listener', anonymous=True)

    # Subscriber to the topic 'chatter' with message type String
    rospy.Subscriber('chatter', String, callback)

    # Spin() keeps the node running until the node is stopped
    rospy.spin()

if __name__ == '__main__':
    listener()",0
24,code a c++ subscriber,"#include ""ros/ros.h""
#include ""std_msgs/String.h""

void messageCallback(const std_msgs::String::ConstPtr& msg) {
    ROS_INFO(""Received message: %s"", msg->data.c_str());
}

int main(int argc, char** argv) {
    ros::init(argc, argv, ""subscriber_node"");
    ros::NodeHandle nh;

    ros::Subscriber sub = nh.subscribe(""my_topic"", 10, messageCallback);

    ros::spin();

    return 0;
}",10.734799563874528
27,code a sub in control cpp,"#include ""ros/ros.h""
#include ""std_msgs/String.h""

void chatterCallback(const std_msgs::String::ConstPtr& msg) {
    ROS_INFO(""I heard: [%s]"", msg->data.c_str());
}

int main(int argc, char **argv) {
    ros::init(argc, argv, ""listener"");
    ros::NodeHandle nh;

    ros::Subscriber sub = nh.subscribe(""chatter"", 1000, chatterCallback);

    ros::spin();

    return 0;
}",10.732114356130781
28,code a data sub node,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

class DataSubNode:
    def __init__(self):
        rospy.init_node('data_sub_node', anonymous=True)
        self.data_subscriber = rospy.Subscriber('data_topic', String, self.data_callback)

    def data_callback(self, data):
        rospy.loginfo(""Received data: %s"", data.data)

    def run(self):
        rospy.spin()

if __name__ == '__main__':
    try:
        data_sub_node = DataSubNode()
        data_sub_node.run()
    except rospy.ROSInterruptException:
        pass",0
29,code a sub in cpp,"#include ""ros/ros.h""
#include ""std_msgs/String.h""

void messageCallback(const std_msgs::String::ConstPtr& msg)
{
    ROS_INFO(""Received message: %s"", msg->data.c_str());
}

int main(int argc, char **argv)
{
    ros::init(argc, argv, ""subscriber_node"");
    ros::NodeHandle nh;

    ros::Subscriber sub = nh.subscribe(""/example_topic"", 10, messageCallback);

    ros::spin();

    return 0;
}",10.738055082531172
33,code a ROS1 subscriber in cpp,"#include ""ros/ros.h""
#include ""std_msgs/String.h""

void messageCallback(const std_msgs::String::ConstPtr& msg) {
    ROS_INFO(""Received message: %s"", msg->data.c_str());
}

int main(int argc, char **argv) {
    ros::init(argc, argv, ""subscriber_node"");
    ros::NodeHandle nh;

    ros::Subscriber sub = nh.subscribe(""topic_name"", 10, messageCallback);

    ros::spin();

    return 0;
}",10.731837821873246
