generation,prompt,code,fitness
0,make a ROS1 subscriber in python,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(""Received data: %s"", data.data)

def listener():
    rospy.init_node('listener', anonymous=True)
    rospy.Subscriber(""/sensor_data"", String, callback)
    rospy.spin()

if __name__ == '__main__':
    listener()",5.58800501367858
0,code ROS sub in python,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(""I heard: %s"", data.data)

def listener():
    rospy.init_node('listener', anonymous=True)
    rospy.Subscriber(""chatter"", String, callback)
    rospy.spin()

if __name__ == '__main__':
    listener()",5.595740129430904
0,create a subscriber for ROS in python,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(""Received data: %s"", data.data)

def listener():
    rospy.init_node('listener', anonymous=True)
    rospy.Subscriber(""/sensor_data"", String, callback)
    rospy.spin()

if __name__ == '__main__':
    listener()",5.586738121786688
0,generate a python subscriber node,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(rospy.get_caller_id() + 'I heard %s', data.data)

def listener():
    rospy.init_node('listener', anonymous=True)
    rospy.Subscriber('chatter', String, callback)
    rospy.spin()

if __name__ == '__main__':
    listener()",5.581001935043071
1,code a ROS1 subscriber in python,"#!/usr/bin/env python

# Import necessary ROS packages
import rospy
from std_msgs.msg import String

# Define the callback function to print the received message
def callback(data):
    rospy.loginfo(""I heard: %s"", data.data)

def listener():
    # Initialize the ROS node with the name 'listener_node'
    rospy.init_node('listener_node', anonymous=True)

    # Subscribe to the 'chatter' topic and specify the message type as String
    rospy.Subscriber('chatter', String, callback)

    # Keep the node running until terminated externally
    rospy.spin()

if __name__ == '__main__':
    try:
        listener()
    except rospy.ROSInterruptException:
        pass",5.554049404574923
2,code a subscriber for ROS in python,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(rospy.get_caller_id() + 'I heard %s', data.data)

def listener():
    rospy.init_node('listener', anonymous=True)
    rospy.Subscriber('chatter', String, callback)
    rospy.spin()

if __name__ == '__main__':
    listener()",5.58048245452359
3,code ROS sub subscriber in python,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(""I heard %s"", data.data)

def listener():
    rospy.init_node('listener', anonymous=True)

    rospy.Subscriber(""chatter"", String, callback)

    rospy.spin()

if __name__ == '__main__':
    listener()",5.592046783654891
5,code ROS sub in in python,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(""Received message: %s"", data.data)

def listener():
    rospy.init_node('listener', anonymous=True)
    rospy.Subscriber('/example_topic', String, callback)
    rospy.spin()

if __name__ == '__main__':
    listener()",2.587349605982441
13,code ROS localization sub subscriber in python,"#!/usr/bin/env python

import rospy
from geometry_msgs.msg import PoseStamped

def localization_callback(data):
    # Callback function to process incoming localization data
    x = data.pose.position.x
    y = data.pose.position.y
    z = data.pose.position.z

    rospy.loginfo(""Localization Data - x: %f, y: %f, z: %f"", x, y, z)

def localization_subscriber():
    rospy.init_node('localization_subscriber', anonymous=True)
    
    # Subscribe to the localization topic
    rospy.Subscriber('localization_topic', PoseStamped, localization_callback)
    
    rospy.spin()

if __name__ == '__main__':
    try:
        localization_subscriber()
    except rospy.ROSInterruptException:
        pass",5.518131635014588
17,code ROS sub for ROS in python,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(""Received data: %s"", data.data)

def listener():
    rospy.init_node('ros_subscriber', anonymous=True)
    rospy.Subscriber(""chatter"", String, callback)
    rospy.spin()

if __name__ == '__main__':
    listener()",2.5831650334951117
19,code sub subscriber in python,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(""I heard: %s"", data.data)

def listener():
    rospy.init_node('listener', anonymous=True)
    rospy.Subscriber(""chatter"", String, callback)
    rospy.spin()

if __name__ == '__main__':
    listener()",5.592448593380748
20,code subscriber for ROS in python,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(""Received message: %s"", data.data)

def listener():
    rospy.init_node('listener', anonymous=True)
    rospy.Subscriber(""chatter"", String, callback)
    rospy.spin()

if __name__ == '__main__':
    listener()",5.584630675832588
21,code ROS subscriber interface in python,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(""Received data: %s"", data.data)

def listener():
    rospy.init_node('listener', anonymous=True)
    rospy.Subscriber(""/sensor_data"", String, callback)
    rospy.spin()

if __name__ == '__main__':
    listener()",5.586322321370887
29,code sub subscriber python,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(""I heard: %s"", data.data)

def listener():
    rospy.init_node('listener', anonymous=True)
    rospy.Subscriber(""chatter"", String, callback)
    rospy.spin()

if __name__ == '__main__':
    listener()",5.593642227333002
33,code ROS subscriber python,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(""Received: %s"", data.data)

def listener():
    rospy.init_node('listener', anonymous=True)
    rospy.Subscriber(""chatter"", String, callback)
    rospy.spin()

if __name__ == '__main__':
    listener()",5.592084646175719
37,code ROS subscriber for task ROS in python,"#!/usr/bin/env python

import rospy
from std_msgs.msg import String

def callback(data):
    rospy.loginfo(""I heard: %s"" % data.data)

def listener():
    rospy.init_node('listener', anonymous=True)
    rospy.Subscriber(""chatter"", String, callback)
    rospy.spin()

if __name__ == '__main__':
    listener()",2.587602211945362
