generation,prompt,code,fitness
0,Create a ROS node in C++ that publishes odometry data for a differential drive robot moving in a circular path.,"#include <ros/ros.h>
#include <geometry_msgs/TwistStamped.h>

class OdometryPublisher {
public:
    OdometryPublisher(ros::NodeHandle& nh) : 
        nh_(nh), publisher_(nh.advertise(""odometry"", geometry_msgs::message_traits::create<std::string>(_msg_type, ""geometry_msgs""))), 
        odometry_data_(new geometry_msgs::TwistStamped()) {}

    ~OdometryPublisher() {
        delete odometry_data_;
    }

    void publishOdometry(double x, double y, double theta) {
        geometry_msgs::TwistStamped msg = *odometry_data_;
        msg.twist.linear.x = x;
        msg.twist.linear.y = y;
        msg.twist.angular.z = theta;
        publisher_.publish(msg);
    }

private:
    ros::NodeHandle& nh_;
    ros::Publisher publisher_;
    geometry_msgs::TwistStamped* odometry_data_;
};

int main(int argc, char** argv) {
    // Initialize the ROS node
    ros::init(argc, argv, ""odometry_publisher"");
    ros::NodeHandle nh;

    OdometryPublisher odometry_pub(nh);

    // Define the circular motion parameters
    double radius = 0.5; // in meters
    double speed = 1.0; // in meters per second

    // Publish odometry data at a rate of 100 Hz
    ros::Rate rate(100);
    while (ros::ok()) {
        // Calculate the robot's position and orientation based on its linear and angular velocity
        double x = radius * cos(ros::Time::now().toSec() * speed);
        double y = radius * sin(ros::Time::now().toSec() * speed);
        double theta = ros::Time::now().toSec() * speed;

        // Publish the odometry data
        odometry_pub.publishOdometry(x, y, theta);

        // Wait for the next iteration
        rate.sleep();
    }

    return 0;
}",0
0,Write a ROS C++ program that simulates and publishes the motion of a robot around its Instantaneous Center of Rotation (ICR).,"#include <ros/ros.h>
#include <geometry_msgs/PoseStamped.h>
#include <tf/transformBroadcaster.h>

class RobotMotionSimulator {
public:
    RobotMotionSimulator(ros::NodeHandle& nh) : 
        node_(nh), 
        broadcaster_(new tf::TransformBroadcaster()) {}

    void simulateAndPublish() {
        ros::Rate rate(10.0);
        while (node_.ok()) {
            // Simulate the robot's motion around its ICR
            double theta = ros::Duration::now().toSec() * 2 * M_PI;
            geometry_msgs::PoseStamped pose;
            pose.header.stamp = node_.now();
            pose.pose.position.x = sin(theta);
            pose.pose.position.y = cos(theta);
            pose.pose.position.z = 0.5; // assume the robot is moving in a plane
            pose.pose.orientation.w = 1;

            // Publish the transformation between the ICR frame and the world frame
            tf::Transform transform;
            transform.setOrigin(tf::Vector3(pose.pose.position.x, pose.pose.position.y, pose.pose.position.z));
            transform.setRotation(pose.pose.orientation);
            broadcaster_->sendTransform(transform);

            rate.sleep();
        }
    }

private:
    ros::NodeHandle node_;
    boost::shared_ptr<tf::TransformBroadcaster> broadcaster_;
};

int main(int argc, char** argv) {
    ros::init(argc, argv);
    ros::NodeHandle nh;

    RobotMotionSimulator simulator(nh);
    simulator.simulateAndPublish();

    return 0;
}",0
0,Generate a ROS C++ node that calculates and publishes odometry and TF data for a robot moving with constant angular velocity.,"// Include the necessary headers
#include <ros/ros.h>
#include <tf/transform_datatype.h>
#include <geometry_msgs/PoseStamped.h>

class OdometryNode {
public:
  // Constructor
  OdometryNode() : ros_node_(""odom_pub""), tf_buffer_(new tf::TransformBuffer()) {}

  // Destructor
  ~OdometryNode() {
    delete tf_buffer_;
  }

  // Main loop
  void run() {
    // Initialize odometry variables
    double x = 0.0;
    double y = 0.0;
    double theta = 0.0;

    // Set the angular velocity (e.g., 1.0 rad/s)
    double omega = 1.0;

    // Main loop
    while (ros::ok()) {
      // Calculate new odometry values based on the previous values and the angular velocity
      x += cos(theta) * omega;
      y += sin(theta) * omega;
      theta += omega;

      // Create a TF message with the new odometry values
      tf::Transform transform;
      transform.setOrigin(x, y, 0.0);
      transform.setRotation(tf::createQuaternionFromYaw(theta));

      // Publish the odometry and TF messages
      ros_node_.publish(odom_message_);
      tf_buffer_->sendTransform(transform);

      // Sleep for a short period to avoid overloading the node
      ros::Duration sleep_time_(0.01);
      sleep_time.sleep();
    }
  }

private:
  // ROS node handle
  ros::NodeHandle ros_node_;

  // TF transform buffer
  tf::TransformBuffer* tf_buffer_;
};

int main(int argc, char** argv) {
  // Initialize the ROS node
  ros::init(argc, argv, ""odom_pub"");
  ros::NodeHandle nh;

  // Create an instance of the odometry node
  OdometryNode node;

  // Run the node's main loop
  node.run();

  return 0;
}",0
0,Implement a ROS C++ publisher that simulates circular robot motion and broadcasts odometry and transform data.,"#include <ros/ros.h>
#include <geometry_msgs/PoseStamped.h>
#include <tf/transform_broadcaster.h>

class RobotMotionPublisher {
public:
  RobotMotionPublisher() : 
    nodeHandle_(new ros::NodeHandle(""robot_motion_publisher"")),
    broadcaster_(*new tf::TransformBroadcaster),
    currentAngle_(0.0) {}

  void run() {
    // Initialize the simulation parameters
    double radius_ = 1.0;
    double angularVelocity_ = M_PI / 2.0; // 1/2 PI rad/s

    while (nodeHandle_->ok()) {
      // Calculate the new robot pose
      geometry_msgs::PoseStamped pose_;
      pose_.header.stamp = ros::Time::now();
      pose_.pose.position.x = radius_ * std::cos(currentAngle_);
      pose_.pose.position.y = radius_ * std::sin(currentAngle_);
      pose_.pose.orientation.w = 1.0;

      // Broadcast the odometry data
      nodeHandle_->publish(pose_);

      // Calculate and broadcast the transform from the map frame to the robot's base link
      tf::TransformStamped transform_;
      transform_.header.stamp = ros::Time::now();
      transform_.transform.translation.x = pose_.pose.position.x;
      transform_.transform.translation.y = pose_.pose.position.y;
      transform_.transform.rotation = pose_.pose.orientation;

      broadcaster_->sendTransform(transform_);

      // Update the current angle
      currentAngle_ += angularVelocity_;
    }
  }

private:
  ros::NodeHandle nodeHandle_;
  tf::TransformBroadcaster broadcaster_;
  double currentAngle_;
};

int main(int argc, char** argv) {
  ROS_INFO(""Initializing robot motion publisher..."");

  RobotMotionPublisher publisher;

  publisher.run();

  return 0;
}",0
1,Create a ROS node in C++ that and publishes the motion of a robot around its Instantaneous Center of Rotation (ICR).,"#include <ros/ros.h>
#include <tf/transform_listener.h>
#include <geometry_msgs/PoseStamped.h>

class ICRMotionPublisher {
public:
  ICRMotionPublisher() : node_(nh_) {}

  void spin() {
    ros::Rate r(10.0); // publish at 10 Hz
    while (ros::ok()) {
      geometry_msgs::PoseStamped msg;
      tf::TransformListener listener(node_);
      tf::StampedTransform transform;
      if (listener.lookupTransform(""base_link"", ""end_effector"", transform)) {
        // Get the ICR position from the end effector pose
        tf::Vector3 icr_pos = transform.getOrigin();
        // Calculate the relative rotation around the ICR
        tf::Quaternion rel_rotation = tf::createQuaternionFromYaw(transform.getRotation().y());
        // Publish the motion message
        msg.header.stamp = node_.now();
        msg.header.frame_id = ""base_link"";
        msg.pose.position.x = icr_pos.getX();
        msg.pose.position.y = icr_pos.getY();
        msg.pose.orientation = rel_rotation;
        pub_.publish(msg);
      }
      r.sleep();
    }
  }

private:
  ros::NodeHandle node_;
  ros::Publisher pub_;
};

int main(int argc, char** argv) {
  // Initialize ROS
  ros::init(argc, argv, ""icr_motion_publisher"");
  ros::NodeHandle node;
  ICRMotionPublisher publisher(node);
  
  // Create a publisher for the motion message
  publisher.pub_ = node.advertise<geometry_msgs::PoseStamped>(""icr_motion"", 10);
  
  // Start the main loop
  while (ros::ok()) {
    publisher.spin();
  }
  
  return 0;
}",0
2,Create a ROS node in C++ that publishes odometry data for a differential drive robot moving in Center of Rotation (ICR).,"#include <ros/node.h>
#include <ros/publisher.h>
#include <ros/time.h>
#include <geometry_msgs/PoseStamped.h>

class DifferentialDriveNode {
public:
  DifferentialDriveNode() : node_(nullptr), pub_(nullptr) {}

  void init(ros::NodeHandle& nh) {
    node_ = &nh;
    pub_ = node_->advertise<geometry_msgs::PoseStamped>(""odometry"", 10);
  }

  void run() {
    ros::Rate rate(10.0); // 10 Hz
    while (node_->ok()) {
      // Simulate odometry data for a differential drive robot moving in ICR mode
      geometry_msgs::PoseStamped odom_msg;
      odom_msg.header.stamp = node_->now();
      odom_msg.header.frame_id = ""map"";
      odom_msg.pose.position.x = 0.5; // x position (meters)
      odom_msg.pose.position.y = 0.2; // y position (meters)
      odom_msg.pose.orientation.w = 0.8; // orientation (quaternion)

      pub_.publish(odom_msg);

      rate.sleep();
    }
  }

private:
  ros::NodeHandle* node_;
  ros::Publisher pub_;
};

int main(int argc, char** argv) {
  ros::init(argc, argv);
  ros::NodeHandle nh;

  DifferentialDriveNode node;
  node.init(nh);
  node.run();

  return 0;
}",0
3,Create a ROS C++ program that simulates and publishes the motion of a robot around its Instantaneous Center of Rotation (ICR).,"#include <ros/ros.h>
#include <geometry_msgs/PoseStamped.h>
#include <Eigen/Dynamic>

class ICRRobot {
public:
  ICRRobot() : node_(new ros::NodeHandle()) {}

  void simulateMotion() {
    Eigen::Vector3d ICR; // Instantaneous Center of Rotation
    Eigen::Vector3d direction;

    for (int i = 0; i < 100; i++) {
      double angle = 2.0 * M_PI * (i / 100.0); // simulate robot moving in a circle around the ICR

      // calculate the new pose based on the current pose and direction
      geometry_msgs::PoseStamped new_pose;
      new_pose.header.stamp = node_->now();
      new_pose.pose.position.x = ICR.x() + cos(angle);
      new_pose.pose.position.y = ICR.y() + sin(angle);

      // publish the new pose
      pub_.publish(new_pose);
    }
  }

private:
  boost::shared_ptr<ros::NodeHandle> node_;
  ros::Publisher pub_;
};

int main(int argc, char** argv) {
  ros::init(argc, argv);
  ICRRobot robot;
  robot.pub_ = robot.node_->advertise<geometry_msgs::PoseStamped>(""icr_pose"");

  while (node_->ok()) {
    robot.simulateMotion();
  }

  return 0;
}",0
4,Create a ROS node in C++ that publishes odometry data for a differential robot around its Instantaneous Center of Rotation (ICR).,"#include <ros/node.h>
#include <ros/publisher.h>
#include <tf/transform_broadcaster.h>
#include <geometry_msgs/PoseStamped.h>

class OdometryPublisher {
public:
    OdometryPublisher() : node_(nullptr) {}

    void setup(const ros::NodeHandle& nh) {
        node_ = &nh;
        broadcaster_.reset(new tf::TransformBroadcaster());
        odom_pub_ = node_->advertise<geometry_msgs::PoseStamped>(""odom"", 10);
    }

    void publishOdometry(double x, double y, double theta, double linear_velocity_x, double angular_velocity_theta) {
        geometry_msgs::PoseStamped msg;

        // Set the pose message
        msg.header.stamp = ros::Time::now();
        msg.pose.position.x = x;
        msg.pose.position.y = y;
        tf::Quaternion quat;
        quat.setRPY(0, 0, theta);
        msg.pose.orientation.x = quat.x();
        msg.pose.orientation.y = quat.y();
        msg.pose.orientation.z = quat.z();
        msg.pose.orientation.w = quat.w();

        // Set the velocity message
        geometry_msgs::TwistStamped vel_msg;
        vel_msg.header.stamp = ros::Time::now();
        vel_msg.twist.linear.x = linear_velocity_x;
        vel_msg.twist.angular.z = angular_velocity_theta;

        // Broadcast the transform from the base link to the map frame
        tf::Transform transform;
        transform.setOrigin(tf::Vector3(x, y, 0));
        transform.setRotation(quat);
        broadcaster_->sendTransform(transform, ""base_link"", ""map"");

        // Publish the odometry and velocity messages
        odom_pub_.publish(msg);
    }

private:
    ros::NodeHandle* node_;
    tf::TransformBroadcaster* broadcaster_;
    ros::Publisher odom_pub_;
};

int main(int argc, char** argv) {
    ros::init(argc, argv);

    OdometryPublisher publisher;

    ros::NodeHandle nh;
    publisher.setup(nh);

    while (ros::ok()) {
        // Simulate odometry data
        double x = 1.0; // meters
        double y = 2.0; // meters
        double theta = 0.5; // radians
        double linear_velocity_x = 0.2; // m/s
        double angular_velocity_theta = 0.3; // rad/s

        publisher.publishOdometry(x, y, theta, linear_velocity_x, angular_velocity_theta);

        ros::spinOnce();
    }

    return 0;
}",0
5,Create a ROS node in C++ that odometry data a differential drive robot its Instantaneous Center of Rotation (ICR).,"#include <ros/ros.h>
#include <tf/transform_listener.h>
#include <geometry_msgs/PoseStamped.h>
#include <geometry_msgs/TwistStamped.h>

// Function to calculate the instantaneous center of rotation (ICR)
void calcICR(ros::NodeHandle& nh, tf::TransformListener* listener) {
  // Get the odometry data
  geometry_msgs::PoseStamped pose_msg;
  ros::Subscriber odom_sub = nh.subscribe(""odom"");
  while (ros::ok()) {
    odom_sub.waitForMessage();
    pose_msg = *odom_sub.msg;
  }

  // Calculate the ICR using the odometry data
  tf::Vector3 icr_pose;
  icr_pose.setX(pose_msg.pose.position.x);
  icr_pose.setY(pose_msg.pose.position.y);
  icr_pose.setZ(0); // Assuming z-coordinate is zero for differential drive robot

  // Publish the ICR pose message
  geometry_msgs::PoseStamped icr_pose_msg;
  icr_pose_msg.header.stamp = ros::Time::now();
  icr_pose_msg.pose.position.x = icr_pose.getX();
  icr_pose_msg.pose.position.y = icr_pose.getY();
  icr_pose_msg.pose.position.z = 0; // Assuming z-coordinate is zero
  nh.publish(""icr_pose"", icr_pose_msg);
}",0
6,Create a ROS node in C++ that publishes odometry data for a differential drive around its Instantaneous rate Center of Rotation (ICR).,"#include <ros/ros.h>
#include <geometry_msgs/PoseStamped.h>

// Define the robot's wheel radii (in meters)
#define WHEEL_RADIUS_LEFT 0.05 // left wheel radius
#define WHEEL_RADIUS_RIGHT 0.05 // right wheel radius

// Define the robot's distance between wheels (in meters)
#define WHEEL_BASE_WIDTH 0.20 // distance between wheels

// Define the node name and namespace
#define NODE_NAME ""differential_drive_odom""
#define NODE_NAMESPACE ""odom""

int main(int argc, char** argv) {
    // Initialize ROS
    ros::init(argc, argv, NODE_NAME);
    ros::NodeHandle nh;

    // Create a publisher for odometry data
    ros::Publisher odom_pub = nh.advertise<geometry_msgs::PoseStamped>(NODE_NAMESPACE + ""/odom"", 10);

    // Define the robot's initial pose (x, y, theta)
    double x_initial = 0.0;
    double y_initial = 0.0;
    double theta_initial = 0.0;

    // Main loop
    while (ros::ok()) {
        // Get the current wheel velocities (in radians per second)
        double left_wheel_velocity = 0.5; // example velocity values
        double right_wheel_velocity = 0.5;

        // Calculate the ICR pose (x, y, theta)
        double x_ICR = x_initial + (WHEEL_RADIUS_LEFT * left_wheel_velocity - WHEEL_RADIUS_RIGHT * right_wheel_velocity) / (2 * M_PI);
        double y_ICR = y_initial;
        double theta_ICR = theta_initial + (left_wheel_velocity - right_wheel_velocity) / (2.0);

        // Create a PoseStamped message for the odometry data
        geometry_msgs::PoseStamped odom_msg;
        odom_msg.header.stamp = ros::Time::now();
        odom_msg.header.frame_id = NODE_NAMESPACE;
        odom_msg.pose.position.x = x_ICR;
        odom_msg.pose.position.y = y_ICR;
        odom_msg.pose.orientation.w = std::cos(theta_ICR / 2.0);
        odom_msg.pose.orientation.z = std::sin(theta_ICR / 2.0);

        // Publish the odometry data
        odom_pub.publish(odom_msg);

        // Update the robot's pose (x, y, theta)
        x_initial += (WHEEL_RADIUS_LEFT * left_wheel_velocity - WHEEL_RADIUS_RIGHT * right_wheel_velocity) / (2.0);
        y_initial = 0.0;
        theta_initial += (left_wheel_velocity - right_wheel_velocity) / (2.0);

        // Sleep for a short duration to avoid flooding the publisher
        ros::Duration(0.01).sleep();
    }

    return 0;
}",0
