generation,prompt,code,fitness
0,Generate a ROS C++ node that calculates and publishes differential drive wheel velocities based on robot parameters.,"#include <ros/ros.h>
#include <geometry_msgs/Twist.h>

// Robot parameters
const double wheel_separation = 0.5; // in meters
const double wheel_radius = 0.1; // in meters

ros::Publisher vel_pub;

void calculateWheelVelocities(const double linear_vel, const double angular_vel) {
    double left_wheel_vel = (linear_vel - (angular_vel * wheel_separation / 2)) / wheel_radius;
    double right_wheel_vel = (linear_vel + (angular_vel * wheel_separation / 2)) / wheel_radius;

    // Publish calculated wheel velocities
    geometry_msgs::Twist vel_msg;
    vel_msg.linear.x = left_wheel_vel;
    vel_msg.linear.y = right_wheel_vel;
    vel_pub.publish(vel_msg);
}

int main(int argc, char** argv) {
    ros::init(argc, argv, ""differential_drive_controller"");
    ros::NodeHandle nh;

    vel_pub = nh.advertise<geometry_msgs::Twist>(""/cmd_vel"", 10);

    double linear_vel = 0.1; // default linear velocity
    double angular_vel = 0.1; // default angular velocity

    ros::param::get(""~linear_vel"", linear_vel);
    ros::param::get(""~angular_vel"", angular_vel);

    ros::Rate loop_rate(10);

    while (ros::ok()) {
        calculateWheelVelocities(linear_vel, angular_vel);
        ros::spinOnce();
        loop_rate.sleep();
    }

    return 0;
}",9.233076887728503
0,Create a C++ ROS controller for a two-wheeled robot that publishes velocity commands.,"#include <ros/ros.h>
#include <geometry_msgs/Twist.h>

class TwoWheeledRobotController
{
public:
    TwoWheeledRobotController()
    {
        // Initialize ROS node handle
        nh_ = ros::NodeHandle();

        // Create publisher for velocity commands
        vel_pub_ = nh_.advertise<geometry_msgs::Twist>(""cmd_vel"", 10);

        // Create subscriber for target velocities
        vel_sub_ = nh_.subscribe(""target_vel"", 10, &TwoWheeledRobotController::velocityCallback, this);
    }

    void velocityCallback(const geometry_msgs::Twist::ConstPtr& msg)
    {
        // Publish received target velocities
        vel_pub_.publish(*msg);
    }

private:
    ros::NodeHandle nh_;
    ros::Publisher vel_pub_;
    ros::Subscriber vel_sub_;
};

int main(int argc, char** argv)
{
    ros::init(argc, argv, ""two_wheeled_robot_controller"");

    TwoWheeledRobotController controller;

    ros::spin();

    return 0;
}",0.8333653752037762
0,Implement a ROS node for computing and broadcasting wheel speeds of a differential drive robot.,"#!/usr/bin/env python

import rospy
from geometry_msgs.msg import Twist
from std_msgs.msg import Float64

class WheelSpeedCalculatorNode:
    def __init__(self):
        rospy.init_node('wheel_speed_calculator_node', anonymous=True)
        
        self.wheel_separation_distance = rospy.get_param('~wheel_separation_distance', 0.5)  # Distance between the two wheels
        self.wheel_radius = rospy.get_param('~wheel_radius', 0.1)  # Radius of the wheels

        self.left_wheel_pub = rospy.Publisher('left_wheel_speed', Float64, queue_size=10)
        self.right_wheel_pub = rospy.Publisher('right_wheel_speed', Float64, queue_size=10)

        rospy.Subscriber('cmd_vel', Twist, self.cmd_vel_callback)

    def cmd_vel_callback(self, msg):
        linear_vel = msg.linear.x
        angular_vel = msg.angular.z

        left_wheel_speed = (linear_vel - angular_vel * self.wheel_separation_distance / 2) / self.wheel_radius
        right_wheel_speed = (linear_vel + angular_vel * self.wheel_separation_distance / 2) / self.wheel_radius

        self.left_wheel_pub.publish(left_wheel_speed)
        self.right_wheel_pub.publish(right_wheel_speed)

if __name__ == '__main__':
    try:
        wheel_speed_calculator_node = WheelSpeedCalculatorNode()
        rospy.spin()
    except rospy.ROSInterruptException:
        pass",0
0,Write a C++ program using ROS to calculate and publish wheel velocities for a two-wheeled mobile platform.,"#include ""ros/ros.h""
#include ""geometry_msgs/Twist.h""
#include ""std_msgs/Float32.h""

class WheelVelocityCalculator {
public:
    WheelVelocityCalculator() {
        nh.getParam(""/robot_wheel_radius"", wheel_radius);
        nh.getParam(""/robot_wheel_base"", wheel_base);

        velocity_sub = nh.subscribe(""cmd_vel"", 10, &WheelVelocityCalculator::velocityCallback, this);
        left_wheel_vel_pub = nh.advertise<std_msgs::Float32>(""left_wheel_velocity"", 10);
        right_wheel_vel_pub = nh.advertise<std_msgs::Float32>(""right_wheel_velocity"", 10);
    }

    void velocityCallback(const geometry_msgs::Twist::ConstPtr& msg) {
        double linear_vel = msg->linear.x;
        double angular_vel = msg->angular.z;

        double left_wheel_vel = (linear_vel - angular_vel * wheel_base / 2) / wheel_radius;
        double right_wheel_vel = (linear_vel + angular_vel * wheel_base / 2) / wheel_radius;

        publishWheelVelocities(left_wheel_vel, right_wheel_vel);
    }

    void publishWheelVelocities(double left, double right) {
        std_msgs::Float32 left_wheel_msg, right_wheel_msg;
        left_wheel_msg.data = left;
        right_wheel_msg.data = right;

        left_wheel_vel_pub.publish(left_wheel_msg);
        right_wheel_vel_pub.publish(right_wheel_msg);
    }

private:
    ros::NodeHandle nh;
    ros::Subscriber velocity_sub;
    ros::Publisher left_wheel_vel_pub, right_wheel_vel_pub;
    double wheel_radius, wheel_base;
};

int main(int argc, char **argv) {
    ros::init(argc, argv, ""wheel_velocity_calculator_node"");

    WheelVelocityCalculator wheel_vel_calc;

    ros::spin();

    return 0;
}",1.4688109271047844
1,Generate a ROS C++ node that calculates and publishes differential drive wheel for a two-wheeled mobile platform.,"#include ""ros/ros.h""
#include ""geometry_msgs/Twist.h""
#include ""nav_msgs/Odometry.h""

class DiffDriveController {
public:
    DiffDriveController() : nh_(""~"") {
        nh_.param(""wheel_base"", wheel_base_, 0.5);
        
        cmd_vel_sub_ = nh_.subscribe(""cmd_vel"", 1, &DiffDriveController::cmdVelCallback, this);
        odom_pub_ = nh_.advertise<nav_msgs::Odometry>(""odom"", 1);
    }

    void cmdVelCallback(const geometry_msgs::Twist::ConstPtr& cmd_vel_msg) {
        double linear_vel = cmd_vel_msg->linear.x;
        double angular_vel = cmd_vel_msg->angular.z;

        double wheel_left_vel = (linear_vel - angular_vel * wheel_base_ / 2);
        double wheel_right_vel = (linear_vel + angular_vel * wheel_base_ / 2);

        publishOdom(wheel_left_vel, wheel_right_vel);
    }

    void publishOdom(double wheel_left_vel, double wheel_right_vel) {
        // Publish odometry message here
        nav_msgs::Odometry odom_msg;
        // Fill in the odometry message with relevant data
        // odom_msg.header.stamp = ros::Time::now();
        // odom_msg.twist.twist.linear.x = (wheel_left_vel + wheel_right_vel) / 2.0;
        // odom_msg.twist.twist.angular.z = (wheel_right_vel - wheel_left_vel) / wheel_base_;
        odom_pub_.publish(odom_msg);
    }

private:
    ros::NodeHandle nh_;
    ros::Subscriber cmd_vel_sub_;
    ros::Publisher odom_pub_;
    double wheel_base_;
};

int main(int argc, char **argv) {
    ros::init(argc, argv, ""diff_drive_controller"");

    DiffDriveController controller;

    ros::spin();

    return 0;
}",1.4748707526705447
3,Generate a ROS C++ node that calculates and publishes differential drive wheel velocities based on mobile platform.,"#include <ros/ros.h>
#include <geometry_msgs/Twist.h>

// Constants for the wheelbase/track width and maximum linear/angular velocities
const double wheelbase = 0.5;  // in meters
const double max_linear_vel = 1.0;  // in m/s
const double max_angular_vel = 1.0;  // in rad/s

ros::Publisher velocity_pub;

// Callback function to receive twist messages and calculate wheel velocities
void twistCallback(const geometry_msgs::Twist& twist_msg)
{
    double linear_vel = twist_msg.linear.x;
    double angular_vel = twist_msg.angular.z;

    // Calculate wheel velocities using differential drive kinematics
    double left_wheel_vel = (linear_vel - angular_vel * wheelbase / 2.0);
    double right_wheel_vel = (linear_vel + angular_vel * wheelbase / 2.0);

    // Limit wheel velocities to maximum values
    if (std::abs(left_wheel_vel) > max_linear_vel)
    {
        left_wheel_vel = std::copysign(max_linear_vel, left_wheel_vel);
    }
    if (std::abs(right_wheel_vel) > max_linear_vel)
    {
        right_wheel_vel = std::copysign(max_linear_vel, right_wheel_vel);
    }

    // Publish left and right wheel velocities
    geometry_msgs::Twist wheel_vel_msg;
    wheel_vel_msg.linear.x = left_wheel_vel;
    wheel_vel_msg.linear.y = right_wheel_vel;
    velocity_pub.publish(wheel_vel_msg);
}

int main(int argc, char** argv)
{
    ros::init(argc, argv, ""differential_drive_controller"");
    ros::NodeHandle nh;

    // Setup subscriber for twist messages
    ros::Subscriber twist_sub = nh.subscribe(""cmd_vel"", 10, twistCallback);

    // Setup publisher for wheel velocities
    velocity_pub = nh.advertise<geometry_msgs::Twist>(""wheel_velocities"", 10);

    ros::spin();

    return 0;
}",3.3944279671709086
7,Generate a ROS C++ node that calculates and publishes actuator differential drive wheel velocities based on mobile platform.,"// Includes
#include <ros/ros.h>
#include <geometry_msgs/Twist.h>
#include <tf/tf.h>

// Constants
const double WHEEL_RADIUS = 0.1;  // Radius of the wheels in meters
const double BASE_WIDTH = 0.5;     // Distance between the two wheels in meters

// ROS Node initialization
ros::NodeHandle nh;
ros::Publisher cmd_vel_pub = nh.advertise<geometry_msgs::Twist>(""/cmd_vel"", 10);

// Callback function to receive desired linear and angular velocities
void velocitiesCallback(const geometry_msgs::Twist::ConstPtr& vel_msg) {
    double linear_vel = vel_msg->linear.x;
    double angular_vel = vel_msg->angular.z;

    // Calculate left and right wheel velocities based on differential drive kinematics
    double left_wheel_vel = (linear_vel - angular_vel * (BASE_WIDTH / 2.0)) / WHEEL_RADIUS;
    double right_wheel_vel = (linear_vel + angular_vel * (BASE_WIDTH / 2.0)) / WHEEL_RADIUS;

    // Create cmd_vel message
    geometry_msgs::Twist cmd_vel;
    cmd_vel.linear.x = left_wheel_vel;
    cmd_vel.linear.y = right_wheel_vel;

    // Publish cmd_vel message
    cmd_vel_pub.publish(cmd_vel);
}

int main(int argc, char** argv) {
    // Initialize ROS node
    ros::init(argc, argv, ""actuator_calculator_node"");

    // Subscribe to desired velocities topic
    ros::Subscriber sub = nh.subscribe(""/desired_velocities"", 10, velocitiesCallback);

    // Spin and process callbacks
    ros::spin();

    return 0;
}",4.491870737542384
8,Generate a ROS C++ node that calculates and publishes differential drive wheel velocities based based on mobile platform.,,0
9,Generate a ROS C++ node that calculates and publishes differential drive wheel wheel velocities based on mobile platform.,"#include <ros/ros.h>
#include <geometry_msgs/Twist.h>
#include <std_msgs/Float64.h>

class DifferentialDriveController {
public:
    DifferentialDriveController() {
        // Initialize ROS node and publisher
        node_handle_ = ros::NodeHandle();
        cmd_vel_sub_ = node_handle_.subscribe(""cmd_vel"", 1, &DifferentialDriveController::cmdVelCallback, this);
        left_wheel_pub_ = node_handle_.advertise<std_msgs::Float64>(""left_wheel_velocity"", 1);
        right_wheel_pub_ = node_handle_.advertise<std_msgs::Float64>(""right_wheel_velocity"", 1);
    }

    void cmdVelCallback(const geometry_msgs::Twist::ConstPtr& msg) {
        // Calculate wheel velocities based on linear and angular velocities
        double linear_vel = msg->linear.x;
        double angular_vel = msg->angular.z;

        double left_wheel_vel = linear_vel - (angular_vel * wheel_base_ / 2);
        double right_wheel_vel = linear_vel + (angular_vel * wheel_base_ / 2);

        // Publish left and right wheel velocities
        std_msgs::Float64 left_wheel_vel_msg;
        left_wheel_vel_msg.data = left_wheel_vel;
        left_wheel_pub_.publish(left_wheel_vel_msg);

        std_msgs::Float64 right_wheel_vel_msg;
        right_wheel_vel_msg.data = right_wheel_vel;
        right_wheel_pub_.publish(right_wheel_vel_msg);
    }

private:
    ros::NodeHandle node_handle_;
    ros::Subscriber cmd_vel_sub_;
    ros::Publisher left_wheel_pub_;
    ros::Publisher right_wheel_pub_;

    double wheel_base_ = 0.5; // Distance between two wheels
};

int main(int argc, char** argv) {
    ros::init(argc, argv, ""differential_drive_controller"");

    DifferentialDriveController controller;

    ros::spin();

    return 0;
}",1.4612801546766843
11,Generate a ROS C++ node that calculates and publishes execution differential wheel velocities based on robot parameters.,"#include <ros/ros.h>
#include <geometry_msgs/Twist.h>

// Define robot parameters
const double WHEEL_BASE = 0.5;  // Distance between the two wheels in meters
const double WHEEL_RADIUS = 0.1;  // Radius of the wheels in meters

// ROS node initialization
ros::NodeHandle nh;
ros::Publisher cmd_vel_pub = nh.advertise<geometry_msgs::Twist>(""cmd_vel"", 10);

// Callback function to calculate wheel velocities
void calculateWheelVelocities(const geometry_msgs::Twist::ConstPtr& cmd_msg) {
    double linear_velocity = cmd_msg->linear.x;  // Linear velocity in m/s
    double angular_velocity = cmd_msg->angular.z;  // Angular velocity in rad/s

    // Calculate left and right wheel velocities
    double left_wheel_velocity = (2 * linear_velocity - angular_velocity * WHEEL_BASE) / (2 * WHEEL_RADIUS);
    double right_wheel_velocity = (2 * linear_velocity + angular_velocity * WHEEL_BASE) / (2 * WHEEL_RADIUS);

    // Create message
    geometry_msgs::Twist cmd_vel_msg;
    cmd_vel_msg.linear.x = left_wheel_velocity;
    cmd_vel_msg.linear.y = right_wheel_velocity;

    // Publish message
    cmd_vel_pub.publish(cmd_vel_msg);
}

int main(int argc, char** argv) {
    // ROS node initialization
    ros::init(argc, argv, ""wheel_controller_node"");

    // Subscribe to command velocity topic
    ros::Subscriber cmd_vel_sub = nh.subscribe(""cmd_vel"", 10, calculateWheelVelocities);

    // ROS spin
    ros::spin();

    return 0;
}",4.493216511180452
